Epoch 0, Loss: 2.6418763317559897, L_bead_necessary: 0.7956204414367676, L_adj_necessary: 0.0253521129488945
Epoch 10, Loss: 1.1837587243632266, L_bead_necessary: 0.7956204414367676, L_adj_necessary: 0.008450704626739025
Epoch 20, Loss: 1.116254752246957, L_bead_necessary: 0.798561155796051, L_adj_necessary: 0.002770083025097847
Epoch 30, Loss: 0.9789576257530012, L_bead_necessary: 0.7925925850868225, L_adj_necessary: 0.020057305693626404
Epoch 40, Loss: 0.917774511324732, L_bead_necessary: 0.798561155796051, L_adj_necessary: 0.002770083025097847
Epoch 50, Loss: 0.8214322982650054, L_bead_necessary: 0.804347813129425, L_adj_necessary: 0.005586592014878988
Epoch 60, Loss: 0.7369940329539149, L_bead_necessary: 0.7913669347763062, L_adj_necessary: 0.002770083025097847
Epoch 70, Loss: 0.701729552526223, L_bead_necessary: 0.7941176295280457, L_adj_necessary: 0.011363636702299118
Epoch 80, Loss: 0.7073708041718132, L_bead_necessary: 0.7686567306518555, L_adj_necessary: 0.017341040074825287
Epoch 90, Loss: 0.6230396322513881, L_bead_necessary: 0.7857142686843872, L_adj_necessary: 0.0
Epoch 100, Loss: 0.6094013305086838, L_bead_necessary: 0.7426470518112183, L_adj_necessary: 0.011363636702299118
Epoch 110, Loss: 0.6325026970160635, L_bead_necessary: 0.8161764740943909, L_adj_necessary: 0.011363636702299118
Epoch 120, Loss: 0.5750993273760143, L_bead_necessary: 0.7629629373550415, L_adj_necessary: 0.014326647855341434
Epoch 130, Loss: 0.5800987613044287, L_bead_necessary: 0.7279411554336548, L_adj_necessary: 0.011363636702299118
Epoch 140, Loss: 0.5621449211710378, L_bead_necessary: 0.6962962746620178, L_adj_necessary: 0.014326647855341434
Epoch 150, Loss: 0.5469710220239664, L_bead_necessary: 0.6715328693389893, L_adj_necessary: 0.008450704626739025
Epoch 160, Loss: 0.5418225482106209, L_bead_necessary: 0.654411792755127, L_adj_necessary: 0.011363636702299118
Epoch 170, Loss: 0.5448436238655918, L_bead_necessary: 0.6159420013427734, L_adj_necessary: 0.005586592014878988
Epoch 180, Loss: 0.528105072441854, L_bead_necessary: 0.6911764740943909, L_adj_necessary: 0.011363636702299118
Epoch 190, Loss: 0.5223537901514455, L_bead_necessary: 0.5142857432365417, L_adj_necessary: 0.0
Epoch 200, Loss: 0.5191530004143715, L_bead_necessary: 0.4285714328289032, L_adj_necessary: 0.020408162847161293
Epoch 210, Loss: 0.5093925965459724, L_bead_necessary: 0.43382352590560913, L_adj_necessary: 0.011363636702299118
Epoch 220, Loss: 0.5035715332156734, L_bead_necessary: 0.3695652186870575, L_adj_necessary: 0.005586592014878988
Epoch 230, Loss: 0.499344699437681, L_bead_necessary: 0.37681159377098083, L_adj_necessary: 0.005586592014878988
Epoch 240, Loss: 0.5030898096530061, L_bead_necessary: 0.3602941036224365, L_adj_necessary: 0.011363636702299118
Epoch 250, Loss: 0.49070925310646235, L_bead_necessary: 0.277372270822525, L_adj_necessary: 0.008450704626739025
Epoch 260, Loss: 0.5546396659393059, L_bead_necessary: 0.36090224981307983, L_adj_necessary: 0.020408162847161293
Epoch 270, Loss: 0.48560388068619526, L_bead_necessary: 0.25735294818878174, L_adj_necessary: 0.011363636702299118
Epoch 280, Loss: 0.48197245158647234, L_bead_necessary: 0.25925925374031067, L_adj_necessary: 0.014326647855341434
Epoch 290, Loss: 0.4781831482915502, L_bead_necessary: 0.21014492213726044, L_adj_necessary: 0.005586592014878988
Epoch 300, Loss: 0.4778392715281562, L_bead_necessary: 0.10294117778539658, L_adj_necessary: 0.011363636702299118
Epoch 310, Loss: 0.4878611118385666, L_bead_necessary: 0.13970588147640228, L_adj_necessary: 0.011363636702299118
Epoch 320, Loss: 0.47367360885990295, L_bead_necessary: 0.1304347813129425, L_adj_necessary: 0.005586592014878988
Epoch 330, Loss: 0.4720151518520556, L_bead_necessary: 0.18656715750694275, L_adj_necessary: 0.017341040074825287
Epoch 340, Loss: 0.4654376777379136, L_bead_necessary: 0.12142857164144516, L_adj_necessary: 0.0
Epoch 350, Loss: 0.46694346289885674, L_bead_necessary: 0.09420289844274521, L_adj_necessary: 0.005586592014878988
Epoch 360, Loss: 0.46622456818034774, L_bead_necessary: 0.12408759444952011, L_adj_necessary: 0.008450704626739025
Epoch 370, Loss: 0.4647427643992399, L_bead_necessary: 0.10687022656202316, L_adj_necessary: 0.026706231757998466
Epoch 380, Loss: 0.46122193120812116, L_bead_necessary: 0.05147058889269829, L_adj_necessary: 0.011363636702299118
Epoch 390, Loss: 0.4596110576077511, L_bead_necessary: 0.036496348679065704, L_adj_necessary: 0.008450704626739025
Epoch 400, Loss: 0.4646587021256748, L_bead_necessary: 0.036496348679065704, L_adj_necessary: 0.008450704626739025
Epoch 410, Loss: 0.6096849464272198, L_bead_necessary: 0.5395683646202087, L_adj_necessary: 0.002770083025097847
Epoch 420, Loss: 0.45535581272683645, L_bead_necessary: 0.028985507786273956, L_adj_necessary: 0.005586592014878988
Epoch 430, Loss: 0.45459914142756086, L_bead_necessary: 0.02857142873108387, L_adj_necessary: 0.0
Epoch 440, Loss: 0.4546716537914778, L_bead_necessary: 0.029411764815449715, L_adj_necessary: 0.011363636702299118
Epoch 450, Loss: 0.6664119067160706, L_bead_necessary: 0.2867647111415863, L_adj_necessary: 0.011363636702299118
Epoch 460, Loss: 0.45173422482452896, L_bead_necessary: 0.021739130839705467, L_adj_necessary: 0.005586592014878988
Epoch 470, Loss: 0.4509961663108123, L_bead_necessary: 0.04316546767950058, L_adj_necessary: 0.002770083025097847
Epoch 480, Loss: 0.45614623341121174, L_bead_necessary: 0.036496348679065704, L_adj_necessary: 0.008450704626739025
Epoch 490, Loss: 0.45405804495278157, L_bead_necessary: 0.02158273383975029, L_adj_necessary: 0.002770083025097847
Epoch 500, Loss: 0.4496853792794833, L_bead_necessary: 0.021739130839705467, L_adj_necessary: 0.005586592014878988
Epoch 510, Loss: 0.44931212922460156, L_bead_necessary: 0.014598540030419827, L_adj_necessary: 0.008450704626739025
Epoch 520, Loss: 0.45135982067961444, L_bead_necessary: 0.02222222276031971, L_adj_necessary: 0.014326647855341434
Epoch 530, Loss: 0.44757983621798064, L_bead_necessary: 0.0, L_adj_necessary: 0.002770083025097847
Epoch 540, Loss: 0.44764970850787666, L_bead_necessary: 0.043795619159936905, L_adj_necessary: 0.008450704626739025
Epoch 550, Loss: 0.449709444806764, L_bead_necessary: 0.007352941203862429, L_adj_necessary: 0.011363636702299118
Epoch 560, Loss: 0.4470740897875083, L_bead_necessary: 0.014598540030419827, L_adj_necessary: 0.008450704626739025
Epoch 570, Loss: 0.4475755482912064, L_bead_necessary: 0.036496348679065704, L_adj_necessary: 0.008450704626739025
Epoch 580, Loss: 0.44688648644246554, L_bead_necessary: 0.014598540030419827, L_adj_necessary: 0.008450704626739025
Epoch 590, Loss: 0.44568861742552957, L_bead_necessary: 0.007194244768470526, L_adj_necessary: 0.002770083025097847
Epoch 600, Loss: 0.6745470185421015, L_bead_necessary: 0.08633093535900116, L_adj_necessary: 0.002770083025097847
