smiles,bead_combined,delta_G_head_sum,prediction,positive,negative
CCCCCCCCCCCC[NH2+]CC(=N)COC(=O)COc4ccc(C)cc4,SQ3p-N2-N4a-N6,62.1,0,0.9670708179473876,0.0329292267560958
CCCCCCCCCCCC[NH2+]CC(=N)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N2-N6-N6,66.89999999999999,0,0.9667490124702454,0.0332509577274322
CCCCCCCCCCCC[NH2+]CN=CCOc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N1a-N6-N6,64.5,0,0.936508297920227,0.0634917691349983
CCCCCCCCCCCC[NH2+]CC(=N)COC(=O)COc4ccc(C)cc4,SQ3p-N1a-N4a-N6,59.7,0,0.9670708179473876,0.0329292267560958
CCCCCCCCCCCC[NH2+]CC(=N)COc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N1a-N6-N6,64.5,0,0.9667490124702454,0.0332509577274322
CCCCCCCCCCCC[NH2+]COCOCOc4ccc(C)cc4,SQ3p-N3r-N3r-N6,64.8,0,0.9372366070747375,0.0627633854746818
CCCCCCCCCCCC[NH2+]COCC(=O)OCOc4ccc(C)cc4,SQ3p-N3r-N4a-N6,66.2,0,0.9869269728660583,0.0130729926750063
CCCCCCCCCCCC[NH2+]COCOC(=O)COc4ccc(C)cc4,SQ3p-N3r-N4a-N6,66.2,0,0.98688006401062,0.0131198754534125
CCCCCCCCCCCC[NH2+]COCC(=O)COc4ccc(C)cc4,SQ3p-N3r-N5a-N6,68.7,0,0.9232134222984314,0.0767865478992462
CCCCCCCCCCCC[NH2+]COCOc3ccc(CN)cc3,SQ3p-N3r-N6-N6d,71.0,0,0.9589937329292296,0.0410062372684478
CCCCCCCCCCCC[NH2+]COCOc3ccc(CO)cc3,SQ3p-N3r-N6-P1,72.3,0,0.9589937329292296,0.0410062372684478
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)N)cc3,SQ3p-N3r-N6-P5,80.4,0,0.9343859553337096,0.0656140446662902
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)NC)cc3,SQ3p-N3r-N6-P3,76.2,0,0.9653181433677672,0.0346818901598453
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)N(C)C)cc3,SQ3p-N3r-N6-P3a,76.2,0,0.9766753315925598,0.0233246851712465
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)O)cc3,SQ3p-N3r-N6-P2,74.4,0,0.9343859553337096,0.0656140446662902
CCCCCCCCCCCC[NH2+]COCOc3ccc(COC)cc3,SQ3p-N3r-N6-N3r,64.8,0,0.951175093650818,0.0488249771296978
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)OC)cc3,SQ3p-N3r-N6-N4a,66.2,0,0.9653181433677672,0.0346818901598453
CCCCCCCCCCCC[NH2+]COCOc3ccc(COC(=O)C)cc3,SQ3p-N3r-N6-N4a,66.2,0,0.933949053287506,0.066050998866558
CCCCCCCCCCCC[NH2+]COCOc3ccc(CC(=O)C)cc3,SQ3p-N3r-N6-N5a,68.7,0,0.9548047184944152,0.0451952777802944
CCCCCCCCCCCC[NH2+]COCOc3ccc(CNC)cc3,SQ3p-N3r-N6-N4,66.2,0,0.951175093650818,0.0488249771296978
CCCCCCCCCCCC[NH2+]COCOc3ccc(CN(C)C)cc3,SQ3p-N3r-N6-N3a,64.8,0,0.9507558345794678,0.0492441542446613
CCCCCCCCCCCC[NH2+]COCOc3ccc(COc4ccc(C)cc4)cc3,SQ3p-N3r-N6-N6,71.0,0,0.9826337695121764,0.0173661895096302
CCCCCCCCCCCC[NH2+]CC(=O)OCC(=O)OCOc4ccc(C)cc4,SQ3p-N4a-N4a-N6,67.6,0,0.9868821501731871,0.0131177762523293
CCCCCCCCCCCC[NH2+]CC(=O)OCOC(=O)COc4ccc(C)cc4,SQ3p-N4a-N4a-N6,67.6,0,0.988505482673645,0.0114944651722908
CCCCCCCCCCCC[NH2+]CC(=O)OCC(=O)COc4ccc(C)cc4,SQ3p-N4a-N5a-N6,70.1,0,0.9659841060638428,0.0340158864855766
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CN)cc3,SQ3p-N4a-N6-N6d,72.39999999999999,0,0.990142583847046,0.0098573835566639
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CO)cc3,SQ3p-N4a-N6-P1,73.69999999999999,0,0.990142583847046,0.0098573835566639
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)N)cc3,SQ3p-N4a-N6-P5,81.8,0,0.9834186434745787,0.0165814328938722
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)NC)cc3,SQ3p-N4a-N6-P3,77.6,0,0.9907660484313964,0.0092339236289262
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)N(C)C)cc3,SQ3p-N4a-N6-P3a,77.6,0,0.9924483299255372,0.0075517003424465
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)O)cc3,SQ3p-N4a-N6-P2,75.8,0,0.9834186434745787,0.0165814328938722
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(COC)cc3,SQ3p-N4a-N6-N3r,66.19999999999999,0,0.9898751378059388,0.010124827735126
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)OC)cc3,SQ3p-N4a-N6-N4a,67.6,0,0.9907660484313964,0.0092339236289262
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(COC(=O)C)cc3,SQ3p-N4a-N6-N4a,67.6,0,0.9835835099220276,0.0164165310561656
CCCCCCCCCCCC[NH2+]CC(=O)OCOc3ccc(CC(=O)C)cc3,SQ3p-N4a-N6-N5a,70.1,0,0.98927104473114,0.0107288947328925
