Rint,Equivalent_water_thickness,Index
-0.81642976,-0.99731533,18
-0.94948932,-1.1504732,61
-0.98496491,-1.2093087,115
-0.65889436,-0.71787588,133
-0.93645321,-1.1072638,242
-1.0167322,-1.1710149,671
-0.74377859,-0.99560419,889
-0.99644788,-1.0658255,957
-0.99881326,-1.0719709,1027
-0.75037776,-1.0085422,1034
-1.0021756,-1.0906829,1042
-0.90686463,-1.1136225,1065
-1.0667072,-1.1960424,1103
-1.2295076,-1.3608817,1364
-0.65197421,-0.78261242,1511
-0.90631905,-1.0920661,1518
-0.91259885,-1.0402224,1658
154.06727,164.45842,1882
247.35556,291.40382,1889
159.68268,169.82362,1930
148.58327,165.44228,1987
136.59513,165.57102,1994
270.40302,286.60257,2001
133.13064,141.86716,2016
78.546623,82.463436,2023
126.03635,138.93313,2035
351.17644,435.53146,2043
-0.24345382,-0.29136902,2068
258.09105,300.45822,2075
454.42938,557.5879,2081
13.497526,15.567786,2093
179.94201,210.87048,2098
370.7635,409.7125,2102
211.62626,229.67559,2106
446.93452,495.04823,2110
212.3778,266.86456,2114
392.54862,437.7304,2118
156.06751,165.14796,2123
191.86247,207.89393,2186
209.58372,216.72046,2211
91.391476,95.345288,2232
123.55827,136.00228,2235
782.29949,1000.026,2249
90.285604,108.16381,2252
-0.7131899,-0.83354805,2423
61.716003,68.842275,2466
27.893554,32.542394,2477
74.87796,89.725399,2501
164.39997,173.38521,2625
1.1564561,1.4020584,2678
11.162108,13.041604,2750
243.66611,277.44151,2830
288.63479,334.12125,2889
299.28663,309.58759,2958
316.21262,374.70983,3070
-0.090339681,-0.15491894,3078
291.60835,328.26023,3142
193.72571,211.11805,3151
149.71286,165.83548,3186
305.54427,312.45466,3191
373.38649,471.03845,3201
180.39383,211.5711,3206
147.54356,160.84046,3220
104.74011,131.94117,3502
130.05126,132.87014,3568
134.57923,143.19604,3603
216.61585,225.68185,3611
206.53787,239.08466,3624
565.09235,675.53087,3643
291.07973,297.96282,3644
107.07119,114.06222,3678
186.07146,227.70322,3720
166.46259,176.07459,3744
416.82357,485.46989,3767
425.21562,502.75833,3768
412.75611,467.0386,3821
315.56294,360.56459,3878
379.99505,462.68146,3884
482.28849,510.88645,3905
528.63587,589.16613,3980
49.756387,52.867931,3994
105.51264,124.23651,4006
213.98823,200.76522,4045
189.32112,200.68695,4052
155.94158,171.80814,4060
112.05514,112.80784,4083
590.8459,718.74473,4110
307.4089,350.05677,4118
-0.076390268,-0.12991562,4121
442.17157,620.56632,4123
103.24458,107.63521,4249
-0.53017474,-0.68625351,4272
181.29078,202.38424,4293
184.31058,201.33021,4303
245.67619,292.59483,4315
95.788028,118.08592,4338
88.389251,109.72691,4355
346.84186,392.25899,4388
595.95714,602.2655,4406
900.69537,996.33156,4407
18.236099,29.097266,4408
59.538591,89.689555,4409
247.82398,266.32032,4410
107.32913,111.75833,4412
85.146311,105.37546,4720
29.754501,31.036782,4746
3.2693094,4.0464995,4800
20.848189,27.46675,4808
113.60437,138.67514,4811
214.313,266.447,4816
194.85755,221.25617,4823
247.30836,296.95431,4832
230.21605,231.79554,4850
136.90338,146.34725,4864
110.93096,119.28409,4878
138.09059,160.08907,4937
173.0657,215.70087,4951
201.4574,203.54151,4958
159.11045,181.97667,5024
263.75863,311.08317,5030
170.90814,191.88941,5036
202.23242,225.90939,5042
317.69096,363.43906,5068
403.6492,501.41716,5210
157.73445,169.1174,5213
691.17401,866.80919,5266
16.195502,18.456634,5323
502.22226,473.6081,5324
45.721335,75.603049,5325
102.08406,102.24828,5345
129.9114,124.77557,5359
143.14836,139.32107,5370
82.287869,84.120827,5399
118.35883,138.99769,5407
236.65344,276.50136,5418
1.9593589,2.4489513,5421
301.31147,304.29846,5427
290.9122,329.05343,5438
561.33338,650.60932,5470
620.52344,751.70937,5475
339.67378,368.13316,5485
168.88623,193.83252,5508
4.7798914,5.3109652,5517
-0.88636412,-1.0293659,5584
-0.8530921,-1.0903704,5587
-0.13033748,-0.16213941,5637
-0.58607133,-0.71123435,5654
65.11418,82.761357,5704
24.665839,30.721912,5712
5.8477838,6.6318817,5715
2.1732567,2.5681755,5733
180.36494,206.17055,5756
331.68914,394.74118,5846
582.91976,716.12953,5859
0.13303147,0.16344746,5884
208.29445,205.87178,5999
425.61415,528.62927,6047
517.4166,643.71296,6120
0.407285,0.46291916,6133
159.91069,146.07273,6182
28.474537,36.180421,6222
408.01956,478.49293,6234
242.9615,252.44295,6253
494.40545,562.15523,6271
967.62043,1148.5572,6283
534.69668,637.76523,6305
0.23157743,0.26950255,6334
-0.93223917,-1.1262581,6383
-0.85520525,-0.95172178,6415
5.086588,5.763763,6479
168.60624,187.45039,6525
156.93432,197.98048,6546
371.97618,424.0682,6556
267.15596,286.89833,6568
96.792723,97.700809,6602
148.48778,178.46972,6608
10.050874,10.763357,6648
530.5793,650.67378,6661
248.88516,271.69055,6696
431.33391,534.5029,6725
358.98987,390.40122,6769
126.14703,145.26633,6811
227.54282,251.32644,6820
117.26772,120.47066,6829
223.40267,228.54759,6839
90.203497,100.6892,6864
114.1371,134.33528,6865
442.83971,499.46495,6882
102.51983,117.37623,6884
393.8767,441.38236,7009
-0.43976868,-0.65069906,7198
274.98223,327.22365,7219
0.0005624322,0.00095687964,7254
476.01238,546.28386,7260
-0.28200912,-0.48030361,7792
468.45546,562.32734,7842
209.98699,234.76079,8037
192.19535,211.21256,8039
280.57694,284.67999,8046
160.50649,180.65459,8057
310.21545,361.02346,8119
229.86179,264.25581,8129
183.7182,204.37203,8139
225.89704,230.41464,8143
1.1906437,1.6034273,8172
-0.47925496,-0.55660301,8212
1.188619,1.5688484,8240
2.9737633,3.8886471,8250
-0.084565824,-0.10366684,8267
223.36168,222.0502,8280
17.303134,26.732398,8281
138.30447,129.61777,8327
8.7475786,15.13372,8328
14.352993,24.527974,8329
0.11038596,0.12014816,8435
105.60761,96.909003,8461
-0.99212045,-1.1461146,8493
191.62068,185.83079,8494
406.56027,440.61372,8500
181.17331,173.90987,8537
143.03995,141.80848,8546
170.06549,152.68812,8569
98.210011,94.346216,8592
0.60955444,0.79278499,8631
-1.2394536,-1.317211,8664
113.67668,107.62328,8670
0.75854943,0.88024447,8691
70.156763,68.236383,8818
55.521294,52.499188,8865
127.71816,146.20354,8942
12.637215,14.557591,8987
22.320135,25.740754,9023
332.29239,394.86531,9027
699.69817,777.3878,9071
55.619784,93.731197,9073
354.87664,350.83598,9094
47.386667,75.505246,9095
55.170515,88.558363,9096
43.531251,42.346515,9116
33.2533,41.883892,9267
222.2254,252.43111,9323
187.17811,201.62258,9332
332.65136,382.87279,9350
392.23798,408.45365,9356
323.07312,335.8095,9374
184.21689,179.88828,9391
175.60565,167.92462,9402
417.48806,446.2132,9450
609.48284,709.07347,9455
48.757002,79.181677,9471
561.43702,551.13582,9490
99.415645,165.07465,9491
282.46508,294.83353,9512
122.21843,186.23578,9513
141.06974,142.25698,9532
1.0655591,1.2265277,9538
2.1385926,2.4541322,9556
159.32132,164.59768,9557
547.54293,647.80483,9645
258.13945,294.74496,9662
285.55381,329.69283,9696
12.495785,15.294696,9708
334.02555,347.25727,9710
212.04316,336.92802,9711
3.5995821,4.3539655,9727
6.2741878,6.7625834,9729
375.99009,426.92977,9733
104.51491,181.29853,9735
487.83484,564.46127,9755
145.58215,156.88802,9769
138.16315,134.94459,9780
72.024357,81.552259,9806
77.203237,80.141986,9819
236.62429,258.25485,9841
441.31893,540.24169,9872
494.12778,586.14152,9878
50.201968,57.519012,9879
478.85491,645.20489,9886
381.62523,421.94619,9906
288.09534,266.33719,9917
479.07982,519.89688,9937
248.2041,268.02174,10136
109.10656,135.46244,10171
104.99128,109.41624,10177
137.71453,167.09558,10182
