Rint,Equivalent_water_thickness,Index,bead1,bead2,bead3,bead4,bead5,charge1,charge2,charge3,charge4,charge5,net_charge,label_NM1,label_HB1,label_PN1,label_SI1,label_SZ1,label_NM2,label_HB2,label_PN2,label_SI2,label_SZ2,label_NM3,label_HB3,label_PN3,label_SI3,label_SZ3,label_NM4,label_HB4,label_PN4,label_SI4,label_SZ4,label_NM5,label_HB5,label_PN5,label_SI5,label_SZ5,delta_G1,delta_G2,delta_G3,delta_G4,delta_G5
-0.81642976,-0.99731533,18,C1,SQ3p,N3r,N6,N3a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N3,a,none,none,R,17.2,-47.8,-3.6,-9.8,-3.6
-0.94948932,-1.1504732,61,C1,SQ3p,N4,N6,N4,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,none,none,none,R,N6,none,none,none,R,N4,none,none,none,R,17.2,-47.8,-5.0,-9.8,-5.0
-0.98496491,-1.2093087,115,C1,SQ3p,N6,N4,P2,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N6,none,none,none,R,N4,none,none,none,R,P2,none,none,none,R,17.2,-47.8,-9.8,-5.0,-13.2
-0.65889436,-0.71787588,133,C1,SQ3p,N6,N6,P3a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N6,none,none,none,R,N6,none,none,none,R,P3,a,none,none,R,17.2,-47.8,-9.8,-9.8,-15.0
-0.93645321,-1.1072638,242,C1,SQ3p,N5a,N4,P5,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N5,a,none,none,R,N4,none,none,none,R,P5,none,none,none,R,17.2,-47.8,-7.5,-5.0,-19.2
-1.0167322,-1.1710149,671,C1,Q2,N3r,N4,P3a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N3,none,none,r,R,N4,none,none,none,R,P3,a,none,none,R,17.2,-32.7,-3.6,-5.0,-15.0
-0.74377859,-0.99560419,889,C1,Q2,N5a,N1a,P1,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N5,a,none,none,R,N1,a,none,none,R,P1,none,none,none,R,17.2,-32.7,-7.5,2.9,-11.1
-0.99644788,-1.0658255,957,C1,Q2,N5a,N4,P3,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N5,a,none,none,R,N4,none,none,none,R,P3,none,none,none,R,17.2,-32.7,-7.5,-5.0,-15.0
-0.99881326,-1.0719709,1027,C1,Q2,N5a,N6,N1,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N5,a,none,none,R,N6,none,none,none,R,N1,none,none,none,R,17.2,-32.7,-7.5,-9.8,2.9
-0.75037776,-1.0085422,1034,C1,Q2,N4,N3r,P3a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N4,none,none,none,R,N3,none,none,r,R,P3,a,none,none,R,17.2,-32.7,-5.0,-3.6,-15.0
-1.0021756,-1.0906829,1042,C1,Q2,N4,N4a,N5a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N4,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,17.2,-32.7,-5.0,-5.0,-7.5
-0.90686463,-1.1136225,1065,C1,Q2,N4,N5a,N4,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N4,none,none,none,R,N5,a,none,none,R,N4,none,none,none,R,17.2,-32.7,-5.0,-7.5,-5.0
-1.0667072,-1.1960424,1103,C1,Q2,N4,N6,N4,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N4,none,none,none,R,N6,none,none,none,R,N4,none,none,none,R,17.2,-32.7,-5.0,-9.8,-5.0
-1.2295076,-1.3608817,1364,C1,Q2,N6,N3r,N4,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,N3,none,none,r,R,N4,none,none,none,R,17.2,-32.7,-9.8,-3.6,-5.0
-0.65197421,-0.78261242,1511,C1,Q2,N6,N6,P3a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,N6,none,none,none,R,P3,a,none,none,R,17.2,-32.7,-9.8,-9.8,-15.0
-0.90631905,-1.0920661,1518,C1,Q2,N6,N6,N3r,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,N6,none,none,none,R,N3,none,none,r,R,17.2,-32.7,-9.8,-9.8,-3.6
-0.91259885,-1.0402224,1658,C1,Q1,N4,N4a,N5a,0.0,1.0,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q1,none,none,none,R,N4,none,none,none,R,N4,a,none,none,R,N5,a,none,none,R,17.2,-24.2,-5.0,-5.0,-7.5
154.06727,164.45842,1882,C1,N2,N4a,Q2,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N4,a,none,none,R,Q2,none,none,none,R,N6,none,none,none,R,17.2,0.5,-5.0,-32.7,-9.8
247.35556,291.40382,1889,C1,N2,N4a,P4,P5,0.0,0.0,0.0,0.0,0.0,0.0,C1,none,none,none,R,N2,none,none,none,R,N4,a,none,none,R,P4,none,none,none,R,P5,none,none,none,R,17.2,0.5,-5.0,-17.1,-19.2
159.68268,169.82362,1930,C1,N2,N4,N5a,Q2,0.0,0.0,0.0,0.0,1.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N4,none,none,none,R,N5,a,none,none,R,Q2,none,none,none,R,17.2,0.5,-5.0,-7.5,-32.7
148.58327,165.44228,1987,C1,N2,N6,Q1,N6,0.0,0.0,0.0,1.0,0.0,1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,Q1,none,none,none,R,N6,none,none,none,R,17.2,0.5,-9.8,-24.2,-9.8
136.59513,165.57102,1994,C1,N2,N6,N1a,Q4n,0.0,0.0,0.0,0.0,-1.0,-1.0,C1,none,none,none,R,N2,none,none,none,R,N6,none,none,none,R,N1,a,none,none,R,Q4,none,n,none,R,17.2,0.5,-9.8,2.9,-48.3
