bead1,bead2,bead3,bead4,bead5,charge1,charge2,charge3,charge4,charge5,net_charge,label_NM1,label_HB1,label_PN1,label_SI1,label_SZ1,label_NM2,label_HB2,label_PN2,label_SI2,label_SZ2,label_NM3,label_HB3,label_PN3,label_SI3,label_SZ3,label_NM4,label_HB4,label_PN4,label_SI4,label_SZ4,label_NM5,label_HB5,label_PN5,label_SI5,label_SZ5,delta_G1,delta_G2,delta_G3,delta_G4,delta_G5
C1,SQ3p,N2,N4a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N2,none,none,none,R,N4,a,none,none,R,N6,none,none,none,R,17.2,-47.8,0.5,-5.0,-9.8
C1,SQ3p,N2,N6,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N2,none,none,none,R,N6,none,none,none,R,N6,none,none,none,R,17.2,-47.8,0.5,-9.8,-9.8
C1,SQ3p,N1a,N6,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N1,a,none,none,R,N6,none,none,none,R,N6,none,none,none,R,17.2,-47.8,2.9,-9.8,-9.8
C1,SQ3p,N1a,N4a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N1,a,none,none,R,N4,a,none,none,R,N6,none,none,none,R,17.2,-47.8,2.9,-5.0,-9.8
C1,SQ3p,N3r,N3r,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N3,none,none,r,R,N6,none,none,none,R,17.2,-47.8,-3.6,-3.6,-9.8
C1,SQ3p,N3r,N4a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N4,a,none,none,R,N6,none,none,none,R,17.2,-47.8,-3.6,-5.0,-9.8
C1,SQ3p,N3r,N5a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N5,a,none,none,R,N6,none,none,none,R,17.2,-47.8,-3.6,-7.5,-9.8
C1,SQ3p,N3r,N6,N6d,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N6,d,none,none,R,17.2,-47.8,-3.6,-9.8,-9.8
C1,SQ3p,N3r,N6,P1,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,P1,none,none,none,R,17.2,-47.8,-3.6,-9.8,-11.1
C1,SQ3p,N3r,N6,P5,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,P5,none,none,none,R,17.2,-47.8,-3.6,-9.8,-19.2
C1,SQ3p,N3r,N6,P3,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,P3,none,none,none,R,17.2,-47.8,-3.6,-9.8,-15.0
C1,SQ3p,N3r,N6,P3a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,P3,a,none,none,R,17.2,-47.8,-3.6,-9.8,-15.0
C1,SQ3p,N3r,N6,P2,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,P2,none,none,none,R,17.2,-47.8,-3.6,-9.8,-13.2
C1,SQ3p,N3r,N6,N3r,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N3,none,none,r,R,17.2,-47.8,-3.6,-9.8,-3.6
C1,SQ3p,N3r,N6,N4a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N4,a,none,none,R,17.2,-47.8,-3.6,-9.8,-5.0
C1,SQ3p,N3r,N6,N5a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N5,a,none,none,R,17.2,-47.8,-3.6,-9.8,-7.5
C1,SQ3p,N3r,N6,N4,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N4,none,none,none,R,17.2,-47.8,-3.6,-9.8,-5.0
C1,SQ3p,N3r,N6,N3a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N3,a,none,none,R,17.2,-47.8,-3.6,-9.8,-3.6
C1,SQ3p,N3r,N6,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N3,none,none,r,R,N6,none,none,none,R,N6,none,none,none,R,17.2,-47.8,-3.6,-9.8,-9.8
C1,SQ3p,N4a,N4a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N4,a,none,none,R,N6,none,none,none,R,17.2,-47.8,-5.0,-5.0,-9.8
C1,SQ3p,N4a,N5a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N5,a,none,none,R,N6,none,none,none,R,17.2,-47.8,-5.0,-7.5,-9.8
C1,SQ3p,N4a,N6,N6d,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N6,d,none,none,R,17.2,-47.8,-5.0,-9.8,-9.8
C1,SQ3p,N4a,N6,P1,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,P1,none,none,none,R,17.2,-47.8,-5.0,-9.8,-11.1
C1,SQ3p,N4a,N6,P5,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,P5,none,none,none,R,17.2,-47.8,-5.0,-9.8,-19.2
C1,SQ3p,N4a,N6,P3,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,P3,none,none,none,R,17.2,-47.8,-5.0,-9.8,-15.0
C1,SQ3p,N4a,N6,P3a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,P3,a,none,none,R,17.2,-47.8,-5.0,-9.8,-15.0
C1,SQ3p,N4a,N6,P2,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,P2,none,none,none,R,17.2,-47.8,-5.0,-9.8,-13.2
C1,SQ3p,N4a,N6,N3r,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N3,none,none,r,R,17.2,-47.8,-5.0,-9.8,-3.6
C1,SQ3p,N4a,N6,N4a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N4,a,none,none,R,17.2,-47.8,-5.0,-9.8,-5.0
C1,SQ3p,N4a,N6,N5a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N5,a,none,none,R,17.2,-47.8,-5.0,-9.8,-7.5
C1,SQ3p,N4a,N6,N4,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N4,none,none,none,R,17.2,-47.8,-5.0,-9.8,-5.0
C1,SQ3p,N4a,N6,N3a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N3,a,none,none,R,17.2,-47.8,-5.0,-9.8,-3.6
C1,SQ3p,N4a,N6,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N6,none,none,none,R,17.2,-47.8,-5.0,-9.8,-9.8
C1,SQ3p,N4a,N3r,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N3,none,none,r,R,N6,none,none,none,R,17.2,-47.8,-5.0,-3.6,-9.8
C1,SQ3p,N4a,N6,N2ah,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N2,a,none,h,R,17.2,-47.8,-5.0,-9.8,0.5
C1,SQ3p,N4a,N6,N2a,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N4,a,none,none,R,N6,none,none,none,R,N2,a,none,none,R,17.2,-47.8,-5.0,-9.8,0.5
C1,SQ3p,N5a,N3r,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N5,a,none,none,R,N3,none,none,r,R,N6,none,none,none,R,17.2,-47.8,-7.5,-3.6,-9.8
C1,SQ3p,N5a,N4a,N6,0,1,0.0,0.0,0.0,1.0,C1,none,none,none,R,Q3,none,p,none,S,N5,a,none,none,R,N4,a,none,none,R,N6,none,none,none,R,17.2,-47.8,-7.5,-5.0,-9.8
